--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,
80,2003,NFL,2,53,NYJ,Victor Hobson\HobsVi20,LB,College Stats
81,2003,NFL,3,85,NYJ,B.J. Askew\AskeB.00,FB,College Stats
82,2003,NFL,6,192,HOU,Drew Henson\HensDr00,QB,College Stats
83,2003,NFL,6,198,IND,Cato June\JuneCa99,LB,College Stats
84,2003,NFL,7,240,NYG,Charles Drake,DB,
85,2002,NFL,3,86,TAM,Marquis Walker,WR,
86,2002,NFL,4,128,PIT,Larry Foote\FootLa20,LB,College Stats
87,2002,NFL,5,154,NYJ,Jonathan Goodwin\GoodJo23,G,
88,2002,NFL,7,247,JAX,Hayden Epstein\epstehay01,K,College Stats
89,2001,NFL,1,8,CHI,David Terrell\TerrDa00,WR,College Stats
90,2001,NFL,1,17,SEA,Steve Hutchinson\HutcSt00,G,College Stats
91,2001,NFL,1,18,DET,Jeff Backus\BackJe20,T,
92,2001,NFL,2,38,CHI,Anthony Thomas\ThomAn01,RB,College Stats
93,2001,NFL,2,43,JAX,Maurice Williams\WillMa25,T,
94,2000,NFL,2,40,DEN,Ian Gold\GoldIa00,LB,College Stats
95,2000,NFL,4,110,CLE,Aaron Shea\SheaAa00,TE,College Stats
96,2000,NFL,4,122,IND,Josh Williams\WillJo30,DT,
97,2000,NFL,6,177,NYG,Dhani Jones\JoneDh20,LB,
98,2000,NFL,6,199,NWE,Tom Brady\BradTo00,QB,College Stats
99,2000,NFL,7,235,IND,Rob Renes,DT,
100,1999,NFL,2,37,WAS,Jon Jansen\JansJo20,T,
101,1999,NFL,5,136,PIT,Jerame Tuman\TumaJe00,TE,College Stats
102,1999,NFL,6,171,SFO,Tai Streets\StreTa00,WR,College Stats
103,1999,NFL,6,205,NYG,Andre Weathers\WeatAn20,DB,College Stats
104,1998,NFL,1,4,OAK,Charles Woodson\WoodCh00,DB,College Stats
105,1998,NFL,3,81,NWE,Chris Floyd\FloyCh00,RB,College Stats
106,1998,NFL,3,91,DEN,Brian Griese\GrieBr00,QB,College Stats
107,1998,NFL,4,105,CIN,Glen Steele\SteeGl20,DT,
108,1998,NFL,5,153,DEN,Chris Howard\HowaCh00,RB,College Stats
109,1997,NFL,3,76,CIN,Rod Payne\PaynRo20,C,
110,1997,NFL,4,97,NWE,Damon Denson\DensDa20,G,
111,1997,NFL,7,217,CIN,William Carr,DT,
112,1996,NFL,1,8,CAR,Tim Biakabutuka\BiakTi00,RB,College Stats
113,1996,NFL,2,34,NYG,Amani Toomer\ToomAm00,WR,College Stats
114,1996,NFL,4,109,HOU,Jon Runyan\RunyJo20,T,
115,1996,NFL,5,136,NOR,Mercury Hayes\HayeMe21,WR,College Stats
116,1996,NFL,5,158,DET,Kerwin Waldroup\WaldKe20,DE,
117,1996,NFL,7,244,BUF,Jay Riemersma\RiemJa00,TE,College Stats
118,1995,NFL,1,17,NYG,Tyrone Wheatley\WheaTy00,RB,College Stats
119,1995,NFL,1,23,NWE,Ty Law\LawxTy00,DB,College Stats
120,1995,NFL,1,31,KAN,Trezelle Jenkins\JenkTr20,T,
121,1995,NFL,2,45,BUF,Todd Collins\CollTo00,QB,College Stats
122,1995,NFL,5,138,OAK,Matt Dyson\DysoMa20,LB,
123,1994,NFL,1,29,CLE,Derrick Alexander\AlexDe00,WR,College Stats
124,1993,NFL,1,14,CLE,Steve Everitt\EverSt20,C,
125,1993,NFL,2,37,CIN,Tony McGee\McGeTo00,TE,College Stats
126,1993,NFL,3,64,SDG,Joe Cocozzo\CocoJo20,G,
127,1993,NFL,4,110,NWE,Corwin Brown\BrowCo21,DB,College Stats
128,1993,NFL,8,217,PHI,Doug Skene\SkenDo20,G,
129,1993,NFL,8,219,SFO,Elvis Grbac\GrbaEl00,QB,College Stats
130,1992,NFL,1,4,WAS,Desmond Howard\HowaDe00,WR,College Stats
131,1992,NFL,2,32,RAI,Greg Skrepenak\SkreGr20,T,College Stats
132,1992,NFL,4,101,KAN,Mike Evans\EvanMi21,DT,
133,1992,NFL,7,186,KAN,Erick Anderson\AndeEr20,LB,College Stats
134,1992,NFL,11,281,RAM,Brian Townsend\TownBr20,LB,
135,1992,NFL,12,336,WAS,Matt Elliott\ElliMa20,G,
136,1991,NFL,1,27,NYG,Jarrod Bunch\BuncJa00,FB,College Stats
137,1991,NFL,5,112,NWE,Jon Vaughn\VaugJo00,RB,College Stats
138,1991,NFL,6,140,NWE,David Key\KeyxDa20,DB,
139,1991,NFL,7,180,MIN,Tripp Welborne\WelbTr20,DB,College Stats
140,1991,NFL,8,212,PIT,Dean Dingman,G,
141,1991,NFL,8,218,KAN,Tom Dohring\DohrTo20,T,
142,1991,NFL,11,291,DAL,Tony Boles,RB,
143,1990,NFL,2,45,CLE,Leroy Hoard\HoarLe00,RB,College Stats
144,1990,NFL,3,80,NWE,Greg McMurtry\McMuGr00,WR,College Stats
145,1990,NFL,4,97,PIT,Chris Calloway\CallCh00,WR,College Stats
146,1990,NFL,6,163,SDG,Derrick Walker\WalkDe00,TE,College Stats
147,1990,NFL,11,284,CHI,Brent White,DE,
148,1989,NFL,4,109,BUF,John Kolesar,WR,
149,1989,NFL,5,118,PIT,David Arnold\ArnoDa20,DB,College Stats
150,1989,NFL,6,161,RAM,Mark Messner\MessMa20,LB,College Stats
151,1988,NFL,2,36,NYG,Jumbo Elliott\ElliJu00,T,
152,1988,NFL,4,107,TAM,Monte Robbins,P,
153,1988,NFL,4,109,WAS,Jamie Morris\MorrJa00,RB,College Stats
154,1987,NFL,1,26,CHI,Jim Harbaugh\HarbJi00,QB,College Stats
155,1987,NFL,3,79,NWE,Bob Perryman\PerrBo00,RB,College Stats
156,1987,NFL,4,92,DET,Garland Rivers\RiveGa21,DB,College Stats
157,1987,NFL,5,134,SFO,Paul Jokisch,WR,
158,1987,NFL,9,226,SDG,Thomas Wilcher,RB,
159,1986,NFL,3,65,CIN,Mike Hammerstein\HammMi20,DE,College Stats
160,1986,NFL,3,80,RAI,Brad Cochran,DB,
161,1986,NFL,4,91,CIN,Eric Kattus\KattEr00,TE,College Stats
162,1986,NFL,12,306,TAM,Clay Miller\MillCl21,T,
163,1985,NFL,1,17,DAL,Kevin Brooks\BrooKe20,DT,
164,1984,NFL,2*,33,SDG,Steve Smith,QB,
165,1984,NFL,2*,52,PIT,Tom Dixon,C,
166,1984,NFL,3,71,CHI,Stefan Humphries\HumpSt20,G,
167,1984,NFL,4,88,PHI,Evan Cooper\CoopEv20,DB,College Stats
168,1983,NFL,2,40,DET,Rich Strenger\StreRi20,T,
169,1983,NFL,2,42,HOU,Keith Bostic\BostKe00,DB,College Stats
170,1983,NFL,8,198,HOU,Robert Thompson\ThomRo23,LB,
171,1983,NFL,8,218,PIT,Craig Dunaway\DunaCr20,TE,College Stats
172,1983,NFL,8,220,DAL,Lawrence Ricks\RickLa20,RB,College Stats
173,1983,NFL,9,237,NYG,Ali Haji-Sheikh\hajisali01,K,College Stats
174,1983,NFL,12,334,MIA,Anthony Carter\CartAn00,WR,College Stats
175,1982,NFL,1,18,NYG,Butch Woolfolk\WoolBu00,RB,College Stats
176,1982,NFL,2,29,SFO,Bubba Paris\PariBu20,T,
177,1982,NFL,3,72,HOU,Stan Edwards\EdwaSt00,RB,College Stats
178,1982,NFL,4,91,RAI,Ed Muransky\MuraEd20,T,College Stats
179,1982,NFL,4,101,DAL,Brian Carpenter\CarpBr20,DB,College Stats
180,1982,NFL,6,146,CHI,Kurt Becker\BeckKu20,G,College Stats
181,1982,NFL,7,194,CIN,Ben Needham,LB,
182,1981,NFL,1,9,RAM,Mel Owens\OwenMe20,LB,College Stats
183,1981,NFL,4,104,RAM,George Lilja\LiljGe20,G,
184,1981,NFL,8,197,NYG,John Powers,G,
185,1981,NFL,10,264,DET,Andy Cannavino,LB,
186,1980,NFL,1,6,STL,Curtis Greer\GreeCu21,DE,College Stats
187,1980,NFL,2,33,STL,Doug Marsh\MarsDo00,TE,College Stats
188,1980,NFL,2,47,NYJ,Ralph Clayton\ClayRa22,WR,College Stats
189,1980,NFL,4,96,NOR,Mike Jolly\JollMi20,DB,College Stats
190,1980,NFL,5,131,DEN,Mike Harden\HardMi21,DB,College Stats
191,1980,NFL,7,167,CIN,Ron Simpkins\SimpRo20,LB,College Stats
192,1979,NFL,1,24,MIA,Jon Giesler\GiesJo20,T,
193,1979,NFL,4,86,PIT,Russell Davis\DaviRu00,RB,College Stats
194,1979,NFL,5,111,SFO,Tom Seabron\SeabTo21,LB,
195,1979,NFL,5,120,NOR,Harlan Huckleby\HuckHa00,RB,College Stats
196,1979,NFL,5,129,MIN,Jerry Meter,LB,
197,1979,NFL,5,132,DEN,Rick Leach,QB,
198,1979,NFL,6,149,NYJ,Bill Dufek,G,
199,1978,NFL,1,13,ATL,Mike Kenn\KennMi00,T,
200,1978,NFL,1,26,GNB,John Anderson\AndeJo20,LB,College Stats
201,1978,NFL,2,47,SFO,Walt Downing\DownWa20,G,
202,1978,NFL,6,150,DET,Dwight Hicks\HickDw00,DB,
203,1978,NFL,11,294,CIN,Mark Donahue\DonaMa20,G,College Stats
204,1977,NFL,2,45,DEN,Rob Lytle\LytlRo00,RB,College Stats
205,1977,NFL,3,75,PIT,Jim Smith\SmitJi01,WR,College Stats
206,1977,NFL,6,163,BAL,Calvin O'Neal\ONeaCa20,LB,
207,1977,NFL,8,197,BUF,Greg Morton\MortGr20,DE,
208,1977,NFL,9,249,NWE,Jerry Vogele,LB,
209,1977,NFL,10,256,NYJ,John Hennessy\HennJo20,LB,
210,1976,NFL,4,104,NYG,Gordon Bell\BellGo00,RB,College Stats
211,1976,NFL,4,109,BUF,Dan Jilek\JileDa20,LB,
212,1976,NFL,5,126,SEA,Don Dufek\DufeDo20,DB,
213,1976,NFL,5,129,NYJ,Steve King,T,
214,1976,NFL,9,252,DEN,Jim Czirr,C,
215,1976,NFL,10,268,SDG,Jeff Perlinger,DE,
216,1976,NFL,13,364,WAS,Waymon Britt,DB,
217,1975,NFL,1,26,PIT,Dave Brown\BrowDa01,DB,College Stats
218,1975,NFL,6,144,DET,Dennis Franklin\FranDe00,WR,College Stats
219,1975,NFL,7,166,BUF,Gil Chapman\ChapGi00,WR,College Stats
220,1975,NFL,7,175,BUF,Harry Banks,DB,
221,1975,NFL,8,187,BAL,Greg Denboer,TE,
222,1975,NFL,9,219,DET,Steve Strinko,LB,
223,1975,NFL,10,241,NOR,Chuck Heater,RB,
224,1975,NFL,11,279,BUF,Tom Drake,DB,
225,1975,NFL,13,315,ATL,Carl Russ\RussCa20,LB,
226,1974,NFL,1,20,CHI,Dave Gallagher\GallDa20,DE,College Stats
227,1974,NFL,2,36,NOR,Paul Seal\SealPa00,TE,College Stats
228,1974,NFL,2,37,BAL,Ed Shuttlesworth,RB,
229,1974,NFL,4,83,SFO,Clint Haslerig\HaslCl20,WR,College Stats
230,1974,NFL,7,173,ATL,James Coode,T,
231,1974,NFL,10,246,GNB,Doug Troszak,DT,
232,1974,NFL,11,275,KAN,Bob Thornbladh\ThorBo20,LB,College Stats
233,1974,NFL,14,347,SFO,Walt Williamson,DE,
234,1974,NFL,15,373,NOR,Larry Cipa\CipaLa00,QB,College Stats
235,1974,NFL,16,398,NOR,Don Coleman\ColeDo20,LB,College Stats
236,1973,NFL,1,7,BUF,Paul Seymour\SeymPa00,TE,College Stats
237,1973,NFL,3,55,PHI,Randy Logan\LogaRa20,DB,College Stats
238,1973,NFL,4,104,MIA,Bo Rather\RathBo00,WR,College Stats
239,1973,NFL,5,120,KAN,Fred Grambau,DE,
240,1973,NFL,13,335,RAM,Clint Spearman,LB,
241,1973,NFL,16,395,CHI,Bill Hart,C,
242,1972,NFL,1,18,CLE,Thom Darden\DardTh00,DB,
243,1972,NFL,1,20,NYJ,Michael Taylor\TaylMi20,LB,
244,1972,NFL,2,27,BUF,Reggie McKenzie\McKeRe20,G,College Stats
245,1972,NFL,2,47,BAL,Glenn Doughty\DougGl00,WR,College Stats
246,1972,NFL,3,57,STL,Tom Beckman\BeckTo21,DE,
247,1972,NFL,3,64,DAL,Mike Keller\KellMi20,LB,
248,1972,NFL,5,109,ATL,Billy Taylor,RB,
249,1972,NFL,10,255,WAS,Mike Oldham,WR,
250,1972,NFL,13,334,BAL,Herb Washington,WR,
251,1972,NFL,16,396,HOU,Guy Murdock\MurdGu20,C,
252,1972,NFL,17,419,NYG,Fritz Seyferth,RB,
253,1971,NFL,2,43,STL,Dan Dierdorf\DierDa00,T,College Stats
254,1971,NFL,3,66,CLE,Paul Staroba\StarPa00,WR,College Stats
